Año,Album,Artista,Streams,Generos,Valoracion,aoty,soty,Link,LinkImg
2014,In The Lonely Hour,Sam Smith,10361486253,R&B/Soul;Pop;Otros;Rock,1,0,0,https://open.spotify.com/intl-es/album/08jWgM4vSkTose4blKBWov?si=4c8218980f4e4e1f,https://i.scdn.co/image/ab67616d00001e02b11bdc91cb9ac6b14f5c1dae
2014,1989,Taylor Swift,8491505731,Pop,1,1,0,https://open.spotify.com/intl-es/album/5fy0X0JmZRZnVa2UEicIOl?si=cc356c52b40e434e,https://i.scdn.co/image/ab67616d00001e02b7e976d2b35c767f9012cb72
2014,My Everything,Ariana Grande,6861604115,R&B/Soul;Pop,1,0,0,https://open.spotify.com/intl-es/album/6EVYTRG1drKdO8OnIQBeEj?si=95a916161b55444b,https://i.scdn.co/image/ab67616d00001e02deec12a28d1e336c5052e9aa
2014,Hozier,Hozier,6478917901,R&B/Soul;Otros;Rock,2,0,0,https://open.spotify.com/intl-es/album/0Uv83rRhY5QvHKkQoULRKk?si=2482296ccd4a4035,https://i.scdn.co/image/ab67616d00001e027a9bf5f82e32d33d4503fe7b
2015,Purpose,Justin Bieber,10557976750,Pop;Otros;R&B/Soul,2,0,0,https://open.spotify.com/intl-es/album/6Fr2rQkZ383FcMqFyT7yPr?si=11181857437a40f6,https://i.scdn.co/image/ab67616d00001e02f46b9d202509a8f7384b90de
2015,Beauty Behind The Madness,The Weeknd,9772778063,R&B/Soul;Otros,1,0,0,https://open.spotify.com/intl-es/album/0P3oVJBFOv3TDXlYRhGL7s?si=8e00889748794462,https://i.scdn.co/image/ab67616d00001e027fcead687e99583072cc217b
2015,Blurryface,Twenty One Pilots,7462148539,Pop;Otros;Rock,2,0,0,https://open.spotify.com/intl-es/album/3cQO7jp5S9qLBoIVtbkSM1?si=29f2565f9324488e,https://i.scdn.co/image/ab67616d00001e022df0d98a423025032d0db1f7
2015,25,Adele,7051872305,Pop;Rock,1,1,1,https://open.spotify.com/intl-es/album/3AvPX1B1HiFROvYjLb5Qwi?si=aeefa520152542cf,https://i.scdn.co/image/ab67616d00001e0247ce408fb4926d69da6713c2
2015,Hamilton,Lin-Manuel Miranda & Various Artists,6819967165,R&B/Soul;Pop;Otros,1,0,0,https://open.spotify.com/intl-es/album/1kCHru7uhxBUdzkm4gzRQc?si=6c4aef2cd9324def,https://i.scdn.co/image/ab67616d00001e02d72fb5571087bca0a2fed008
2016,Starboy,The Weeknd,15152427933,R&B/Soul;Hip Hop/Rap;Pop;Otros,1,0,0,https://open.spotify.com/intl-es/album/2ODvWsOgouMbaA5xf0RkJe?si=89e1a8a4f1bf47d4,https://i.scdn.co/image/ab67616d00001e024718e2b124f79258be7bc452
2016,Views,Drake,10011741047,R&B/Soul;Hip Hop/Rap,3,0,0,https://open.spotify.com/intl-es/album/40GMAhriYJRO1rsY4YdrZb?si=ab86aab34f59462d,https://i.scdn.co/image/ab67616d00001e029416ed64daf84936d89e671c
2016,Stoney,Post Malone,9241536498,R&B/Soul;Hip Hop/Rap,3,0,0,https://open.spotify.com/intl-es/album/3zAcZrky4QNM28YS0tHSYQ?si=253761a7708745b3,https://i.scdn.co/image/ab67616d00001e02555365f6d2da5f78f1f66b3b
2016,Anti,Rihanna,7460170379,Pop;Hip Hop/Rap;Rock,1,0,0,https://open.spotify.com/intl-es/album/4UlGauD7ROb3YbVOFMgW5u?si=970acf6e34254c85,https://i.scdn.co/image/ab67616d00001e0233c6b920eabcf4c00d7a1093
2016,Illuminate,Shawn Mendes,7295387804,R&B/Soul;Pop,1,0,0,https://open.spotify.com/intl-es/album/3wBabo4pmzsYjALMSKY7Iq?si=9b441a99d734460f,https://i.scdn.co/image/ab67616d00001e02ea3ef7697cfd5705b8f47521
2017,Divide (%),Ed Sheeran,15323020727,Pop,1,0,0,https://open.spotify.com/intl-es/album/3T4tUhGYeRNVUGevb0wThu?si=4b25aa7599a541fb,https://i.scdn.co/image/ab67616d00001e02ba5db46f4b838ef6027e6f96
2017,Dua Lipa,Dua Lipa,12852757647,Pop;Otros,2,0,0,https://open.spotify.com/intl-es/album/01sfgrNbnnPUEyz6GZYlt9?si=11c61ff86ca94940,https://i.scdn.co/image/ab67616d00001e02838698485511bd9108fadadc
2017,Don't Smile At Me,Billie Eilish,9970505546,Pop;Rock,1,0,0,https://open.spotify.com/intl-es/album/7fRrTyKvE4Skh93v97gtcU?si=7e0dedaf7eeb4e8e,https://i.scdn.co/image/ab67616d00001e02a9f6c04ba168640b48aa5795
2017,17,XXXTentacion,8929152487,Otros;Rock,2,0,0,https://open.spotify.com/intl-es/album/5VdyJkLe3yvOs0l4xXbWp0?si=b37aa93e2b174117,https://i.scdn.co/image/ab67616d00001e02203c89bd4391468eea4cc3f5
2017,Damn.,Kendrick Lamar,8621977772,Hip Hop/Rap,3,0,0,https://open.spotify.com/intl-es/album/4eLPsYPBmXABThSJ821sqY?si=cc031abc4fd94059,https://i.scdn.co/image/ab67616d00001e028b52c6b9bc4e43d873869699
2018,Beerbongs & Bentleys,Post Malone,12046850283,R&B/Soul;Hip Hop/Rap,4,0,0,https://open.spotify.com/intl-es/album/6trNtQUgC8cgbWcqoMYkOR?si=a4645c3668a645e8,https://i.scdn.co/image/ab67616d00001e02b1c4b76e23414c9f20242268
